SMILES,logKow
COC(=O)c1cncc(Cl)n1,0.47
CCOC(=O)c1ccc(OCC)cc1,3.6
Cc1cc2c(OCC(O)CNC(C)C)cccc2[nH]1,2.3
OC(c1ccccc1)C1CCCCN1,1.58
CCC(CC)(C(N)=O)c1ccc2c(c1)OCO2,1.59
NC1=NC(C(F)(F)F)(C(F)(F)F)NC1(C(F)(F)F)C(F)(F)F,3.35
CC(C)CN(CC(C)C)C(=O)C=Cc1ccc2c(c1)OCO2,4.37
COC(=O)c1cncc(OC)n1,0.69
NS(=O)(=O)c1ccc(Cl)c(Cl)c1,1.44
Clc1ccc(NC2=NCCN2)c(Cl)c1,1.96
Cc1cc(-n2c(=O)cc(C)n2C)nc(C)n1,0.24
COc1cc(-n2c(=O)cc(C)n2C)nc(C)n1,0.7
Cc1cc(C)nc(-n2c(C)cc(=O)n2C)n1,0.51
COc1cc(-n2c(C)cc(=O)n2C)nc(C)n1,0.38
COc1cc(C)n(-c2ccncn2)n1,2.21
COc1cc(C)n(-c2cc(C)nc(C)n2)n1,2.6
COc1cc(-n2nc(C)cc2OC)nc(C)n1,1.54
COc1cc(C)n(-c2nc(C)cc(C)n2)n1,1.82
COc1cc(OC)nc(-n2nc(O)cc2C)n1,1.16
COc1cc(-n2nc(C)cc2OC)nc(OC)n1,1.86
COc1cc(-n2c(=O)cc(C)n2C)ncn1,0.3
COc1ccnc(-n2nc(C)cc2OC)n1,1.01
CCCCc1c(C)nc(NCC)nc1O,2.215
C#CC(C)(C)NC(=O)c1cc(Cl)cc(Cl)c1,3.43
CCCNC(C)C(=O)Nc1c(C)csc1C(=O)OC,1.89
c1ccc(C2CNCCO2)cc1,1.11
OCCOc1c(Br)cc(Br)cc1Br,3.42
CCOP(=S)(OCC)Oc1ncn(-c2ccccc2)n1,3.34
O=C1CCC(=O)N1c1cc(Cl)cc(Cl)c1,1.4
CC(=O)Nc1ccc(Br)cc1C,2.03
Cc1nccnn1,-1.31
COC(=O)C1C(C=C(C)C)C1(C)C,3.76
CCCOP(=S)(OCCC)SCC(=O)N1CCCCC1C,4.04
O=[N+]([O-])c1cnc(NC2=NCCO2)s1,0.57
O=[N+]([O-])c1cnc(NC2=NCCN2)s1,1.38
O=[N+]([O-])c1cnc(NC2=NCCN2CCO)s1,1.23
COC(COC(N)=O)C1=C(N2CC2)C(=O)C(C)=C(N2CC2)C1=O,-0.15
O=C1CC(c2ccc(O)c(O)c2)Oc2cccc(O)c21,2.81
C[N+]1(C)CCCCC1,-2.82
CC(C)CC(=O)NN,-0.31
OCC1c2ccccc2-c2ccccc21,2.89
CCOC(=O)C(=Cc1ccccc1C)C(=O)OCC,3.22
CCOC(=O)C(=Cc1ccc(O)c(OC)c1)C(=O)OCC,2.89
COP(N)(=S)Oc1ccccc1C(=O)OC(C)C,2.7
CCCCCCOc1cc(N)ccc1C(=O)O,3.22
Clc1ccc2c(ccc3ccccc32)c1,5.16
CC1(C)C(=O)NC(=O)NC1=O,-0.44
NC(=O)c1ccc(S(=O)(=O)c2ccc(N)cc2)cc1,0.9
C=CC(=O)OCCCOC(=O)C=C,0.87
CCOP(=O)(OCC)Oc1ccc(SC)cc1Cl,3.05
CCC(=O)NN,-1
CC(C)c1cccc(C(C)C)c1N,3.18
O=CNc1nc(-c2ccc([N+](=O)[O-])o2)cs1,-1.14
O=C(Nc1ccc(Br)cc1)C(F)(F)F,3.34
CCOC(=O)c1ccc(NC(=O)C(F)(F)F)cc1,2.25
CCCOC(=O)NCCCN(C)C,1.12
Nc1ccc(S(=O)(=O)N2C(=O)N=C(O)C2(c2ccccc2)c2ccccc2)cc1,3.27
O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1S(=O)(=O)c1ccc(Cl)cc1,4.48
Cc1ccccc1S(=O)(=O)N1C(=O)N=C(O)C1(c1ccccc1)c1ccccc1,4
Clc1nonc1-c1ccccc1,3.2
ClC(Cl)(Cl)c1nc(NCc2ccccc2)nc(C(Cl)(Cl)Cl)n1,4.93
CNC(=O)C1CCCN1C(C)=O,-1.19
CCC(CC)COC(=N)O,1.98
Clc1cc(Cl)cc(Oc2ccccc2)c1,5.21
Clc1ccc(Cl)c(Oc2ccccc2)c1,5.13
Clc1ccc(Oc2cc(Cl)cc(Cl)c2)cc1,5.77
N#Cc1cccc(C=O)c1,1.18
COP(=O)(Oc1cc(Cl)c(Br)cc1Cl)c1ccccc1,4.58
CC(C)c1ccccc1OC(=O)N(C)C,2.65
O=C(O)CN1C(=O)C=CC1=O,-0.14
CC(C)N1C(=O)c2ccccc2NS1(=O)=O,2.34
CCOC(=O)Cn1c(=O)sc2cccc(Cl)c21,2.5
CC(=O)Nc1ccccc1C#N,0.57
CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CCl,2.48
CCC(=O)OC1(C(=O)CBr)C(C)CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(=O)CC21C,3.55
CC(C)c1ccccc1OCC(=O)O,2.84
c1ccc(CCCc2ccccc2)cc1,3.43
Cc1cc(Cl)cc(Cl)c1,3.99
CCC(Oc1ccc(Cl)cc1C)C(=O)O,3.47
O=C(O)Cc1ccc(C2CCCC2)cc1,3.44
